"Speler","TotaalGewonnenSets"
"Arthur De Greef","14"
"Yusuke Takahashi","4"
"Denis Istomin","22"
"Noah Rubin","13"
"Tommy Paul","6"
"David Goffin","68"
"John Millman","6"
"Fabio Fognini","53"
"Fernando Verdasco","40"
"Thiago Monteiro","28"
"Christian Harrison","4"
"Dmitry Tursunov","2"
"Matteo Donati","4"
"Jurgen Melzer","6"
"Renzo Olivo","13"
"Mitchell Krueger","2"
"Santiago Giraldo","21"
"Nick Kyrgios","36"
"Mikhail Kukushkin","25"
"Sebastian Ofner","13"
"Dmitry Popko","2"
"Facundo Bagnis","4"
"Malek Jaziri","28"
"Mathias Bourgue","4"
"Guido Andreozzi","14"
"Albert Montanes","2"
"Alex de Minaur","13"
"Akira Santillan","2"
"Yoshihito Nishioka","17"
"Albert Ramos-Vinolas","58"
"Ernests Gulbis","9"
"Hyeon Chung","34"
"Rubin Statham","2"
"Bjorn Fratangelo","18"
"Tim Smyczek","20"
"Mirza Basic","4"
"Gilles Simon","19"
"Daniel Brands","8"
"Philipp Kohlschreiber","31"
"Jordi Samper-Montana","0"
"Pedja Krstin","2"
"Alejandro Gonzalez","6"
"Sergiy Stakhovsky","27"
"Reilly Opelka","16"
"Duckhee Lee","4"
"Peter Polansky","13"
"Marcel Granollers","10"
"Taro Daniel","20"
"Federico Delbonis","16"
"Alejandro Davidovich Fokina","2"
"Ruben Bemelmans","15"
"Nikoloz Basilashvili","21"
"Damir Dzumhur","21"
"Dustin Brown","10"
"Tommy Robredo","7"
"Yannik Reuter","2"
"Liam Broady","6"
"Ryan Harrison","24"
"Christian Garin","6"
"Nikola Milojevic","2"
"Jay Clarke","4"
"Illya Marchenko","11"
"Ramkumar Ramanathan","2"
"Marcelo Arevalo","2"
"Paolo Lorenzi","26"
"Edan Leshem","4"
"Hiroki Moriya","4"
"Bradley Klahn","6"
"Kyle Edmund","42"
"Jan Satral","8"
"Matthias Bachinger","2"
"Joao Souza","4"
"Uladzimir Ignatik","4"
"Roberto Carballes Baena","12"
"Pedro Sousa","8"
"Grega Zemlja","2"
"Marc Polmans","4"
"Alexandr Dolgopolov","43"
"Finn Tearney","3"
"Lucas Pouille","49"
"Rajeev Ram","8"
"Alexios Halebian","4"
"Daniel Masur","6"
"Pablo Cuevas","42"
"Nicolas Almagro","15"
"Maxime Janvier","4"
"Nicolas Kicker","16"
"Ernesto Escobedo","35"
"Sam Groth","2"
"Diego Schwartzman","65"
"Thomas Fabbiano","18"
"Lukas Rosol","14"
"Marco Trungelliti","14"
"Jack Sock","57"
"Marinko Matosevic","2"
"Marin Cilic","70"
"Dusan Lajovic","33"
"Adrian Menendez-Maceiras","7"
"Benoit Paire","31"
"Tatsuma Ito","6"
"Riccardo Bellotti","2"
"Stefanos Tsitsipas","25"
"Dominic Thiem","92"
"Joris De Loore","6"
"Carlos Berlocq","23"
"Jordan Thompson","22"
"Jan-Lennard Struff","34"
"Janko Tipsarevic","3"
"Kenny De Schepper","2"
"Tomas Berdych","52"
"Jeremy Chardy","32"
"Andrea Arnaboldi","4"
"Vasek Pospisil","16"
"Gilles Muller","43"
"Benjamin Becker","8"
"Tennys Sandgren","10"
"Austin Krajicek","2"
"Joao Sousa","29"
"Paul-Henri Mathieu","12"
"Marcos Baghdatis","17"
"Yen-Hsun Lu","11"
"John-Patrick Smith","10"
"Sekou Bangoura","4"
"Go Soeda","8"
"Thanasi Kokkinakis","2"
"Benjamin Bonzi","3"
"Yuichi Sugita","24"
"Tobias Kamke","10"
"Sam Querrey","53"
"Andrey Rublev","43"
"Elias Ymer","10"
"Casper Ruud","20"
"James McGee","10"
"Cedrik-Marcel Stebe","3"
"Alexander Sarkissian","2"
"Guillermo Garcia-Lopez","20"
"Tommy Haas","6"
"Jared Donaldson","37"
"Mackenzie McDonald","4"
"Alexander Bublik","19"
"Pablo Carreno Busta","69"
"Henri Laaksonen","10"
"Alexander Zverev","81"
"Kei Nishikori","63"
"Maxime Hamou","6"
"Donald Young","28"
"Stefan Kozlov","12"
"Stephane Robert","2"
"Bradley Mousley","2"
"Alexander Ward","7"
"Dennis Novak","6"
"Calvin Hemery","1"
"Alessandro Bega","4"
"Franko Skugor","4"
"Rogerio Dutra Silva","16"
"Alex Bolt","6"
"Adrian Mannarino","55"
"Marcus Willis","4"
"Horacio Zeballos","22"
"Maximilian Marterer","2"
"Roberto Bautista Agut","61"
"Stefano Travaglia","10"
"Oscar Otte","4"
"Yannick Hanfmann","4"
"Kevin Anderson","68"
"Taylor Fritz","16"
"Filip Krajinovic","14"
"Luca Vanni","8"
"Blaz Kavcic","3"
"Andy Murray","54"
"Feliciano Lopez","40"
"Enrique Lopez-Perez","2"
"Blake Mott","8"
"Matthew Ebden","10"
"Victor Estrella Burgos","10"
"Simone Bolelli","27"
"Brydan Klein","8"
"Mohamed Safwat","2"
"Teymuraz Gabashvili","12"
"Rafael Nadal","143"
"Dennis Novikov","8"
"Robin Haase","31"
"Jerzy Janowicz","14"
"Marius Copil","20"
"Stan Wawrinka","55"
"Peter Gojowczyk","26"
"Viktor Troicki","33"
"Grigor Dimitrov","76"
"Jurgen Zopp","4"
"Andreas Seppi","23"
"Norbert Gombos","12"
"Matija Pecotic","2"
"Daniil Medvedev","15"
"Aleksandr Nedovyesov","1"
"Frances Tiafoe","28"
"Jiri Vesely","25"
"Zdenek Kolar","2"
"Julien Benneteau","22"
"Dudi Sela","18"
"David Ferrer","22"
"Denis Kudla","13"
"Aljaz Bedene","23"
"Ruben Ramirez Hidalgo","2"
"Jonathan Eysseric","2"
"Cameron Norrie","4"
"Milos Raonic","50"
"Radu Albot","21"
"Miljan Zekic","4"
"Daniel Evans","25"
"Maximo Gonzalez","14"
