Title;ReleaseYear;Publisher;Platform;UserScore;MultiplayerRating;CampaignRating;ZombiesMode;Generation
Modern Warfare 2;2015;Treyarch;PlayStation;7.4;6;10;No;Gen7
Black Ops;2023;Treyarch;Xbox;6.5;8;9;No;Gen8
Modern Warfare;2014;Raven Software;Xbox;9.0;6;5;Yes;Gen7
World at War;2015;Infinity Ward;PlayStation;7.1;8;5;No;Gen7
Black Ops II;2016;Infinity Ward;PlayStation;8.3;10;10;No;Gen8
Modern Warfare 3;2011;Infinity Ward;PC;8.1;6;6;N/A;Gen7
Ghosts;2020;Raven Software;Xbox;8.3;10;6;Yes;Gen8
Advanced Warfare;2011;Treyarch;Xbox;8.4;10;10;No;Gen7
Infinite Warfare;2020;Infinity Ward;Multi-platform;8.4;8;5;No;Gen8
WWII;2017;Infinity Ward;Multi-platform;6.1;9;6;Yes;Gen8
Black Ops III;2007;Infinity Ward;PC;8.1;9;9;No;Gen6
Black Ops Cold War;2009;Treyarch;PlayStation;7.0;10;8;Yes;Gen6
Vanguard;2011;Infinity Ward;PC;6.1;8;7;Yes;Gen7
Modern Warfare II (2022);2008;Infinity Ward;PlayStation;9.6;8;9;N/A;Gen6
Warzone;2015;Infinity Ward;Xbox;8.1;9;9;N/A;Gen7
