Sid;Datum;Lon;Lat;Temp
10500;1/03/2024;6.04;50.96;-1.75
10500;4/03/2024;6.04;50.96;11.25
10500;5/03/2024;6.04;50.96;10.55
10500;6/03/2024;6.04;50.96;8.05
10500;7/03/2024;6.04;50.96;8.65
10500;8/03/2024;6.04;50.96;9.15
10500;11/03/2024;6.04;50.96;13.85
10500;12/03/2024;6.04;50.96;5.35
10500;13/03/2024;6.04;50.96;10.55
10500;14/03/2024;6.04;50.96;9.45
10500;15/03/2024;6.04;50.96;8.55
10500;18/03/2024;6.04;50.96;1.35
10500;19/03/2024;6.04;50.96;6.95
10500;20/03/2024;6.04;50.96;3.15
10500;21/03/2024;6.04;50.96;5.15
10500;22/03/2024;6.04;50.96;5.85
10500;25/03/2024;6.04;50.96;10.45
10500;26/03/2024;6.04;50.96;10.05
10500;27/03/2024;6.04;50.96;8.05
10500;28/03/2024;6.04;50.96;6.35
10505;1/03/2024;6.02;50.8;-2.85
10505;2/03/2024;6.02;50.8;1.35
10505;3/03/2024;6.02;50.8;11.05
10505;4/03/2024;6.02;50.8;10.05
10505;5/03/2024;6.02;50.8;9.55
10505;6/03/2024;6.02;50.8;7.05
10505;7/03/2024;6.02;50.8;6.85
10505;8/03/2024;6.02;50.8;7.05
10505;9/03/2024;6.02;50.8;14.15
10505;10/03/2024;6.02;50.8;13.75
10505;11/03/2024;6.02;50.8;12.15
10505;12/03/2024;6.02;50.8;4.35
10505;13/03/2024;6.02;50.8;9.65
10505;14/03/2024;6.02;50.8;10.05
10505;15/03/2024;6.02;50.8;7.85
10505;16/03/2024;6.02;50.8;-2.25
10505;17/03/2024;6.02;50.8;-2.05
10505;18/03/2024;6.02;50.8;-1.75
10505;19/03/2024;6.02;50.8;4.65
10505;20/03/2024;6.02;50.8;0.05
10505;21/03/2024;6.02;50.8;3.75
10505;22/03/2024;6.02;50.8;4.55
10505;23/03/2024;6.02;50.8;10.65
10505;24/03/2024;6.02;50.8;10.45
10505;25/03/2024;6.02;50.8;8.85
10505;26/03/2024;6.02;50.8;7.95
10505;27/03/2024;6.02;50.8;6.75
10505;28/03/2024;6.02;50.8;8.45
10505;29/03/2024;6.02;50.8;12.65
10505;30/03/2024;6.02;50.8;9.85
10505;31/03/2024;6.02;50.8;6.15
6310;1/03/2024;3.6;51.44;-2.05
6310;2/03/2024;3.6;51.44;0.95
6310;3/03/2024;3.6;51.44;6.85
6310;4/03/2024;3.6;51.44;5.75
6310;5/03/2024;3.6;51.44;8.75
6310;6/03/2024;3.6;51.44;6.25
6310;7/03/2024;3.6;51.44;7.45
6310;8/03/2024;3.6;51.44;7.75
6310;9/03/2024;3.6;51.44;8.45
6310;10/03/2024;3.6;51.44;11.65
6310;11/03/2024;3.6;51.44;9.05
6310;12/03/2024;3.6;51.44;5.45
6310;13/03/2024;3.6;51.44;8.05
6310;14/03/2024;3.6;51.44;5.95
6310;15/03/2024;3.6;51.44;10.25
6310;16/03/2024;3.6;51.44;-1.85
6310;17/03/2024;3.6;51.44;-0.45
6310;18/03/2024;3.6;51.44;1.05
6310;19/03/2024;3.6;51.44;6.95
6310;20/03/2024;3.6;51.44;6.15
6310;21/03/2024;3.6;51.44;6.15
6310;22/03/2024;3.6;51.44;6.35
6310;23/03/2024;3.6;51.44;8.75
6310;24/03/2024;3.6;51.44;8.95
6310;25/03/2024;3.6;51.44;7.05
6310;26/03/2024;3.6;51.44;6.25
6310;27/03/2024;3.6;51.44;6.05
6310;28/03/2024;3.6;51.44;8.75
6310;29/03/2024;3.6;51.44;9.65
6310;30/03/2024;3.6;51.44;8.15
6310;31/03/2024;3.6;51.44;6.25
6319;1/03/2024;3.86;51.22;-2.95
6319;2/03/2024;3.86;51.22;2.55
6319;3/03/2024;3.86;51.22;10.55
6319;4/03/2024;3.86;51.22;9.05
6319;5/03/2024;3.86;51.22;10.35
6319;6/03/2024;3.86;51.22;8.25
6319;7/03/2024;3.86;51.22;7.25
6319;8/03/2024;3.86;51.22;9.75
